   18   26   48    1   18     /ARGON              /ABELS-VAN MAANEN 1985   ADF11
  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882
  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882
  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882  -7.80882
  -7.80882  -7.80882
  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883
  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883
  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883  -7.75883
  -7.75883  -7.75883
  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884
  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884
  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884  -7.70884
  -7.70884  -7.70884
  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885
  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885
  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885  -7.65885
  -7.65885  -7.65885
  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886
  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886
  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886  -7.60886
  -7.60886  -7.60886
  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888
  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888
  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888  -7.55888
  -7.55888  -7.55888
  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889
  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889
  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889  -7.50889
  -7.50889  -7.50889
  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890
  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890
  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890  -7.45890
  -7.45890  -7.45890
  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891
  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891
  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891  -7.40891
  -7.40891  -7.40891
  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892
  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892
  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892  -7.35892
  -7.35892  -7.35892
  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893
  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893
  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893  -7.30893
  -7.30893  -7.30893
  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894
  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894
  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894  -7.25894
  -7.25894  -7.25894
  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895
  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895
  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895  -7.20895
  -7.20895  -7.20895
  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896
  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896
  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896  -7.15896
